age,ifr,ci_low,ci_high
0-4,0.000184644,NA,NA
5-9,7.36E-05,NA,NA
10-14,7.36E-05,NA,NA
15-19,8.03E-05,NA,NA
20-24,8.03E-05,NA,NA
25-29,0.0002007,NA,NA
30-34,0.0002007,NA,NA
35-39,0.0002007,NA,NA
40-44,0.0002007,NA,NA
45-49,0.00043485,NA,NA
50-54,0.00043485,NA,NA
55-59,0.00043485,NA,NA
60-64,0.00043485,NA,NA
65-69,0.0065562,NA,NA
70-74,0.0065562,NA,NA
75-79,0.0065562,NA,NA
>80,0.0065562,NA,NA
