age,ihr,ci_low,ci_high
0-4,0.00466293,NA,NA
5-9,0.00183306,NA,NA
10-14,0.00183306,NA,NA
15-19,0.00183306,NA,NA
20-24,0.00183306,NA,NA
25-29,0.00375309,NA,NA
30-34,0.00375309,NA,NA
35-39,0.00375309,NA,NA
40-44,0.00375309,NA,NA
45-49,0.00375309,NA,NA
50-54,0.0070914,NA,NA
55-59,0.0070914,NA,NA
60-64,0.0070914,NA,NA
65-69,0.01034274,NA,NA
70-74,0.01034274,NA,NA
75-79,0.01034274,NA,NA
>80,0.01034274,NA,NA
