age,population
F15-24,280
F25-34,2807
F35-44,11295
F45-54,15327
F55-64,10880
F65-74,5428
F75-84,1323
F>85,192
M15-24,234
M25-34,1303
M35-44,8102
M45-54,14646
M55-64,10704
M65-74,7140
M75-84,2710
M>85,547
